layer,color,alpha
IfcSpace,"[0.0,0.3,1.0]",0.5
default,"[0.5,1.0,0.0]",1
IfcColumn,"[0.0,0.0,0.0]",1
IfcBeam,"[0.0,0.0,0.0]",1
IfcSlab,"[0.0,0.0,0.0]",0.5
void,"[0.0,0.0,0.0]",0.1
IfcProxy,"[0.5,1.0,0.5]",0.5
